text,font_size,font_name,is_bold,page_number,x_position,y_position,word_count,char_count,is_all_caps,relative_font_size,starts_with_number,font_size_diff_prev,is_prev_line_blank,font_size_diff_next,is_next_line_blank,label
Top Level Section i love this work 087,20.0,Helvetica-Bold,1,2,78.0,174.60000610351562,8,38,0,1.667,0,8.0,0,0.0,1,H1
A deep dive into our logistical operations,10.0,Helvetica,0,39,78.0,331.25,7,42,0,1.0,0,0.0,0,0.0,0,Body
a) Clinical diagnosis :,13.906794548034668,TimesNewRomanPS-BoldItalicMT,1,79,130.55999755859375,244.19857788085938,4,23,0,1.0,0,-2.1579484939575195,0,0.0,0,H4
85.4%,10.0,Helvetica,0,22,396.82501220703125,397.25,1,5,0,1.0,1,0.0,0,0.0,0,Body
Granuloma,11.98864459991455,Calibri-Bold,1,28,72.0,490.44000244140625,1,9,0,1.0,0,0.0,0,0.0,0,H2
2.4.2 pH of Salts,14.0,TT5EBT00,0,13,59.999969482421875,167.71868896484375,4,17,0,1.333,1,4.5,0,0.0,0,H2
INCIDENCE OF THE CONDITION IN OUR COUNTRY,11.269294738769531,Calibri-Bold,1,103,127.44000244140625,292.02001953125,7,41,1,1.0,0,0.0,0,0.0,1,H2
Introduction:,11.98864459991455,Calibri-Bold,1,28,71.04000091552734,117.0,1,13,0,1.0,0,0.0,0,0.0,0,H3
Strategic Section #18449,14.0,Helvetica-Bold,1,3,78.0,77.0199966430664,3,24,0,1.4,0,5.0,0,2.0,0,H2
Body fill paragraph.,12.0,Helvetica,0,49,78.0,227.10000610351562,3,20,0,1.0,0,0.0,0,0.0,0,Body
15.2 Regional Performance,14.0,Helvetica-BoldOblique,1,26,324.0,400.9779968261719,3,25,0,1.4,1,4.0,0,0.0,0,Body
DEFINITION:,11.98864459991455,Calibri-Bold,1,96,90.23999786376953,240.3599853515625,1,11,1,1.0,0,0.0,0,0.0,0,H2
Data Lifecycle Management,20.0,Helvetica,0,2,78.0,258.5,3,25,0,1.667,0,8.0,0,0.0,1,H1
c) Treatment:,13.072394371032715,Calibri-Bold,1,32,97.91999816894531,312.63470458984375,2,13,0,1.16,0,1.8030996322631836,0,1.8030996322631836,0,H4
optimization.,10.0,Helvetica,0,27,324.0,358.25,1,13,0,1.0,0,0.0,0,0.0,0,Body
"elements, it is the absolute difference. For the Time on",10.559999465942383,ArialNarrow,0,21,328.79058837890625,336.19122314453125,10,56,0,1.0,0,0.0,0,0.0,0,Body
Assembly level Language :,12.0,"Times New Roman,Bold",1,5,54.02399826049805,307.73199462890625,4,25,0,1.0,0,0.0,0,0.0,0,H3
measurable and aligned with our core objectives of innovation and market leadership.,10.0,Helvetica,0,11,78.0,450.25,12,84,0,1.0,0,0.0,0,-2.0,0,Body
a) Introduction:,13.906794548034668,Calibri-Bold,1,101,72.0,152.51858520507812,2,16,0,1.0,0,0.0,0,0.0,0,H3
11.3 CIRCUIT DIAGRAM,14.0,TT511T00,0,4,162.21002197265625,279.2895812988281,3,20,1,1.474,1,4.5,1,0.0,0,H1
1.1 Major Subsectionthe model takes a lot of time 001,18.0,Helvetica-BoldOblique,1,3,78.0,316.6860046386719,10,53,0,1.5,1,6.0,0,2.0,0,H2
• Expanding our footprint into emerging,10.0,Helvetica,0,37,78.0,423.25,6,39,0,1.0,0,0.0,0,0.0,0,Body
Note: The left operand in an assignment expression must be a single variable.,11.520000457763672,Times New Roman,0,18,60.0,144.96942138671875,13,77,0,1.0,0,0.0,0,0.0,0,Body
1.2 Major Subsectionboring is the new cool080,18.0,Helvetica-BoldOblique,1,3,78.0,536.6859741210938,7,45,0,1.5,1,6.0,0,2.0,0,H2
2025,10.0,Helvetica-Bold,1,12,330.8800048828125,636.2999877929688,1,4,0,1.0,1,0.0,0,0.0,0,Body
Risk Management Overview,20.0,Helvetica,0,2,78.0,108.5,3,24,0,1.667,0,8.0,0,0.0,1,H1
1.1.1 Section the next batch for pdfs headings 038,16.0,Helvetica-Oblique,0,3,78.0,236.8800048828125,9,50,0,1.333,1,-2.0,0,4.0,0,H3
+2.6%,10.0,Helvetica,0,28,508.2850341796875,443.25,1,5,0,1.0,0,0.0,0,-4.0,0,Body
User Experience and Interface Design,20.0,Helvetica,0,2,78.0,198.5,5,36,0,1.667,0,8.0,0,0.0,1,H1
